-0.20 -0.200000
-0.10 -0.200000
0.00 -0.200000
0.10 -0.200000
0.20 -0.200000
0.30 -0.200000
0.40 -0.200000
0.50 -0.200000
0.60 -0.200000
0.70 -0.200000
0.80 -0.200000
0.90 -0.200000
1.00 -0.200000
1.10 -0.163068
1.20 -0.135089
1.30 -0.115477
1.40 -0.103852
1.50 -0.100000
1.60 -0.103852
1.70 -0.115477
1.80 -0.135089
1.90 -0.163068
2.00 -0.200000
2.10 -0.200000
2.20 -0.200000
2.30 -0.200000
2.40 -0.200000
2.50 -0.200000
2.60 -0.200000
2.70 -0.200000
2.80 -0.200000
2.90 -0.200000
3.00 -0.200000
3.10 -0.200000
3.20 -0.200000
-0.20 -0.100000
-0.10 -0.100000
0.00 -0.100000
0.10 -0.100000
0.20 -0.100000
0.30 -0.100000
0.40 -0.100000
0.50 -0.100000
0.60 -0.100000
0.70 -0.100000
0.80 -0.100000
0.90 -0.100000
1.00 -0.100000
1.10 -0.063068
1.20 -0.035089
1.30 -0.015477
1.40 -0.003852
1.50 0.000000
1.60 -0.003852
1.70 -0.015477
1.80 -0.035089
1.90 -0.063068
2.00 -0.100000
2.10 -0.100000
2.20 -0.100000
2.30 -0.100000
2.40 -0.100000
2.50 -0.100000
2.60 -0.100000
2.70 -0.100000
2.80 -0.100000
2.90 -0.100000
3.00 -0.100000
3.10 -0.100000
3.20 -0.100000
-0.20 0.000000
-0.10 0.000000
0.00 0.000000
0.10 0.000000
0.20 0.000000
0.30 0.000000
0.40 0.000000
0.50 0.000000
0.60 0.000000
0.70 0.000000
0.80 0.000000
0.90 0.000000
1.00 0.000000
1.10 0.036932
1.20 0.064911
1.30 0.084523
1.40 0.096148
1.50 0.100000
1.60 0.096148
1.70 0.084523
1.80 0.064911
1.90 0.036932
2.00 0.000000
2.10 0.000000
2.20 0.000000
2.30 0.000000
2.40 0.000000
2.50 0.000000
2.60 0.000000
2.70 0.000000
2.80 0.000000
2.90 0.000000
3.00 0.000000
3.10 0.000000
3.20 0.000000
-0.20 0.100000
-0.10 0.100000
0.00 0.100000
0.10 0.100000
0.20 0.100000
0.30 0.100000
0.40 0.100000
0.50 0.100000
0.60 0.100000
0.70 0.100000
0.80 0.100000
0.90 0.100000
1.00 0.100000
1.10 0.133239
1.20 0.158420
1.30 0.176071
1.40 0.186533
1.50 0.190000
1.60 0.186533
1.70 0.176071
1.80 0.158420
1.90 0.133239
2.00 0.100000
2.10 0.100000
2.20 0.100000
2.30 0.100000
2.40 0.100000
2.50 0.100000
2.60 0.100000
2.70 0.100000
2.80 0.100000
2.90 0.100000
3.00 0.100000
3.10 0.100000
3.20 0.100000
-0.20 0.200000
-0.10 0.200000
0.00 0.200000
0.10 0.200000
0.20 0.200000
0.30 0.200000
0.40 0.200000
0.50 0.200000
0.60 0.200000
0.70 0.200000
0.80 0.200000
0.90 0.200000
1.00 0.200000
1.10 0.229545
1.20 0.251929
1.30 0.267619
1.40 0.276919
1.50 0.280000
1.60 0.276919
1.70 0.267619
1.80 0.251929
1.90 0.229545
2.00 0.200000
2.10 0.200000
2.20 0.200000
2.30 0.200000
2.40 0.200000
2.50 0.200000
2.60 0.200000
2.70 0.200000
2.80 0.200000
2.90 0.200000
3.00 0.200000
3.10 0.200000
3.20 0.200000
-0.20 0.300000
-0.10 0.300000
0.00 0.300000
0.10 0.300000
0.20 0.300000
0.30 0.300000
0.40 0.300000
0.50 0.300000
0.60 0.300000
0.70 0.300000
0.80 0.300000
0.90 0.300000
1.00 0.300000
1.10 0.325852
1.20 0.345438
1.30 0.359166
1.40 0.367304
1.50 0.370000
1.60 0.367304
1.70 0.359166
1.80 0.345438
1.90 0.325852
2.00 0.300000
2.10 0.300000
2.20 0.300000
2.30 0.300000
2.40 0.300000
2.50 0.300000
2.60 0.300000
2.70 0.300000
2.80 0.300000
2.90 0.300000
3.00 0.300000
3.10 0.300000
3.20 0.300000
-0.20 0.400000
-0.10 0.400000
0.00 0.400000
0.10 0.400000
0.20 0.400000
0.30 0.400000
0.40 0.400000
0.50 0.400000
0.60 0.400000
0.70 0.400000
0.80 0.400000
0.90 0.400000
1.00 0.400000
1.10 0.422159
1.20 0.438947
1.30 0.450714
1.40 0.457689
1.50 0.460000
1.60 0.457689
1.70 0.450714
1.80 0.438947
1.90 0.422159
2.00 0.400000
2.10 0.400000
2.20 0.400000
2.30 0.400000
2.40 0.400000
2.50 0.400000
2.60 0.400000
2.70 0.400000
2.80 0.400000
2.90 0.400000
3.00 0.400000
3.10 0.400000
3.20 0.400000
-0.20 0.500000
-0.10 0.500000
0.00 0.500000
0.10 0.500000
0.20 0.500000
0.30 0.500000
0.40 0.500000
0.50 0.500000
0.60 0.500000
0.70 0.500000
0.80 0.500000
0.90 0.500000
1.00 0.500000
1.10 0.518466
1.20 0.532456
1.30 0.542262
1.40 0.548074
1.50 0.550000
1.60 0.548074
1.70 0.542262
1.80 0.532456
1.90 0.518466
2.00 0.500000
2.10 0.500000
2.20 0.500000
